time,rescue,BLS,dinner
0,0,0,0
5,0.01412156501,0.0006077781714,0.0006208095209
10,0.04326252766,0.002294176542,0.002280638796
15,0.07363327066,0.004862721517,0.004707012269
20,0.09768227604,0.008128846988,0.00766622807
25,0.112196014,0.01191989434,0.01095966051
30,0.1168028245,0.01607511245,0.01442030315
35,0.1128250207,0.02044565769,0.01790954268
40,0.1024272903,0.0248945939,0.02131415375
45,0.08801331662,0.02929689244,0.02454350549
50,0.07182638809,0.03353943215,0.02752697025
55,0.05571360975,0.03752099936,0.03021152562
60,0.04101717844,0.04115228788,0.03255954077
65,0.02856002802,0.04435589902,0.03454673836
70,0.01869699815,0.04706634159,0.03616032367
75,0.01140652583,0.04923003188,0.03739727247
80,0.006401705642,0.05080529367,0.0382627697
85,0.003243410337,0.05176235824,0.03876879086
90,0.001442010179,0.05208336434,0.03893281854
95,0.0005380752815,0.05176235824,0.03877668654
100,0.0001562916417,0.05080529367,0.03832554414
105,0.00003066775121,0.04923003188,0.03760693353
110,0.00000295488885,0.04706634159,0.03664997343
115,0.00000005046281643,0.04435589902,0.03548464205
120,0,0.04115228788,0.03414115302
125,,0.03752099936,0.0326494178
130,,0.03353943215,0.03103858845
135,,0.02929689244,0.02933667485
140,,0.0248945939,0.02757023057
145,,0.02044565769,0.02576410176
150,,0.01607511245,0.02394123383
155,,0.01191989434,0.0221225306
160,,0.008128846988,0.02032676101
165,,0.004862721517,0.01857050861
170,,0.002294176542,0.01686815916
175,,0.0006077781714,0.01523192209
180,,0,0.01367188141
185,,,0.01219607231
190,,,0.01081057943
195,,,0.009519653253
200,,,0.00832584131
205,,,0.007230130779
210,,,0.006232099601
215,,,0.00533007322
220,,,0.00452128431
225,,,0.003802033061
230,,,0.003167845758
235,,,0.002613629626
240,,,0.002133822064
245,,,0.001722532611
250,,,0.001373676188
255,,,0.00108109634
260,,,0.0008386773953
265,,,0.0006404446784
270,,,0.0004806520808
275,,,0.000353856505
280,,,0.0002549788901
285,,,0.0001793517184
290,,,0.0001227531026
295,,,0.00008142774606
300,,,0.00005209526523
305,,,0.00003194655685
310,,,0.00001862909063
315,,,0.00001022220137
320,,,0.000005203650819
325,,,0.000002408924728
330,,,0.0000009849261083
335,,,0.0000003399209312
340,,,0.00000009178803019
345,,,0.00000001682030964
350,,,0.000000001519792617
355,,,0
360,,,0